user_id,age,gender,city,product_category,price,quantity,payment_method,purchase_time,delivery_days,rating,total_spent
U05237,17,M,Yogyakarta,Fashion,511000,1,E-Wallet,2024-05-04 15:31:16,7,3,511000
U00089,25,M,Palembang,Books,185000,1,COD,2024-01-19 01:34:41,6,4,185000
U03805,22,M,Jakarta,Food,46000,1,COD,2024-05-29 15:40:16,1,4,46000
U05855,18,M,Semarang,Food,56000,3,Transfer,2024-02-24 12:30:08,7,4,168000
U00122,22,F,Jakarta,Food,24000,2,E-Wallet,2024-02-15 01:34:45,3,4,48000
U04962,21,M,Medan,Automotive,1560000,1,COD,2024-06-12 20:11:52,3,4,1560000
U00033,30,M,Medan,Electronics,1046000,2,Credit Card,2024-05-30 06:55:11,8,4,2092000
U04699,31,M,Medan,Electronics,2352000,1,E-Wallet,2024-05-31 07:22:19,5,4,2352000
U00696,27,M,Jakarta,Food,19000,2,E-Wallet,2024-06-02 10:08:13,5,4,38000
U03842,24,F,Surabaya,Electronics,1528000,2,E-Wallet,2024-06-23 19:11:06,4,4,3056000
U00525,23,F,Surabaya,Sports,928000,1,PayLater,2024-06-26 12:42:28,3,5,928000
U05144,26,M,Medan,Books,51000,3,Transfer,2024-05-24 22:34:16,6,4,153000
U05445,37,F,Balikpapan,Toys,320000,1,Transfer,2024-02-07 10:09:39,5,4,320000
U00247,26,M,Bandung,Books,46000,3,Credit Card,2024-03-18 00:13:35,3,4,138000
U03927,39,M,Palembang,Automotive,336000,1,COD,2024-05-22 01:49:41,6,4,336000
U03102,38,M,Medan,Books,99000,1,Credit Card,2024-01-12 11:12:02,5,4,99000
U02097,36,M,Jakarta,Health,279000,3,COD,2024-04-14 23:55:34,3,4,837000
U01963,35,M,Denpasar,Fashion,172000,2,Credit Card,2024-02-18 22:00:51,6,4,344000
U02960,20,M,Yogyakarta,Home,645000,1,E-Wallet,2024-02-09 23:47:01,7,4,645000
U02228,25,M,Medan,Health,315000,6,E-Wallet,2024-01-09 03:32:46,5,3,1890000
U01394,31,F,Makassar,Sports,225000,1,PayLater,2024-04-10 21:37:57,3,5,225000
U01908,20,M,Jakarta,Automotive,217000,1,E-Wallet,2024-04-30 23:53:18,4,3,217000
U02024,18,F,Surabaya,Electronics,1350000,2,Credit Card,2024-05-16 10:22:59,5,3,2700000
U04834,36,F,Jakarta,Automotive,1541000,2,E-Wallet,2024-01-22 12:09:35,6,3,3082000
U02479,18,F,Yogyakarta,Sports,219000,1,PayLater,2024-05-27 00:03:54,3,5,219000
U05533,42,F,Balikpapan,Fashion,431000,1,E-Wallet,2024-03-20 17:02:34,5,4,431000
U04460,36,F,Semarang,Electronics,1441000,2,Transfer,2024-01-23 00:02:25,6,4,2882000
U00982,34,F,Jakarta,Fashion,725000,4,COD,2024-05-20 11:08:49,1,5,2900000
U05399,17,F,Semarang,Automotive,3045000,1,Credit Card,2024-05-09 18:54:39,5,4,3045000
U03224,36,M,Jakarta,Sports,797000,1,E-Wallet,2024-03-29 15:05:49,2,4,797000
U00227,31,M,Surabaya,Automotive,199000,2,Credit Card,2024-05-26 06:49:09,2,4,398000
U01267,29,F,Makassar,Food,10000,3,PayLater,2024-03-10 05:57:44,5,4,30000
U02058,38,F,Denpasar,Health,147000,1,E-Wallet,2024-05-25 14:12:29,4,4,147000
U05512,37,M,Denpasar,Food,94000,3,E-Wallet,2024-05-11 15:39:49,4,5,282000
U05744,17,M,Jakarta,Fashion,301000,2,Transfer,2024-04-02 23:57:12,1,4,602000
U02252,44,M,Medan,Electronics,1043000,3,Transfer,2024-05-11 16:44:33,4,3,3129000
U02942,26,M,Jakarta,Health,49000,1,E-Wallet,2024-05-21 19:44:39,3,5,49000
U00157,47,F,Makassar,Fashion,406000,1,Transfer,2024-04-01 18:46:53,3,4,406000
U02074,32,M,Jakarta,Fashion,779000,1,COD,2024-03-28 14:49:58,4,5,779000
U04064,33,M,Semarang,Electronics,1083000,1,Transfer,2024-01-18 23:22:10,3,5,1083000
U05798,28,M,Bandung,Fashion,377000,1,E-Wallet,2024-01-08 09:11:07,1,5,377000
U00761,25,F,Balikpapan,Automotive,3911000,2,Transfer,2024-01-11 00:11:03,11,2,7822000
U00774,39,M,Yogyakarta,Home,366000,1,PayLater,2024-01-30 18:12:48,4,4,366000
U01553,22,F,Surabaya,Beauty,112000,4,Credit Card,2024-05-02 22:33:44,5,4,448000
U00958,34,F,Jakarta,Health,209000,3,Transfer,2024-02-12 00:14:49,1,5,627000
U00254,39,M,Bandung,Home,342000,1,PayLater,2024-04-06 22:07:43,4,4,342000
U01570,25,F,Bandung,Toys,484000,3,Credit Card,2024-01-14 01:07:35,4,4,1452000
U03219,23,M,Yogyakarta,Fashion,159000,2,E-Wallet,2024-03-27 23:21:16,6,4,318000
U04214,17,F,Bandung,Health,138000,1,Credit Card,2024-01-17 05:15:18,2,4,138000
U03237,39,M,Yogyakarta,Electronics,631000,1,PayLater,2024-02-18 11:19:18,9,4,631000
U04646,45,F,Surabaya,Sports,328000,1,Transfer,2024-04-14 13:47:53,5,4,328000
U05007,39,F,Makassar,Sports,191000,2,COD,2024-01-11 07:44:59,3,4,382000
U04966,28,M,Semarang,Fashion,270000,1,E-Wallet,2024-04-24 02:05:32,3,4,270000
U00808,26,M,Yogyakarta,Food,15000,1,E-Wallet,2024-02-05 00:11:30,2,5,15000
U05769,32,F,Makassar,Fashion,421000,2,Credit Card,2024-05-16 23:12:45,6,4,842000
U04917,40,M,Bandung,Electronics,941000,1,Transfer,2024-01-02 21:21:30,4,4,941000
U01782,29,F,Palembang,Beauty,441000,6,Transfer,2024-03-25 09:20:59,6,3,2646000
U01222,33,M,Makassar,Health,369000,1,E-Wallet,2024-01-02 12:43:56,2,4,369000
U05698,23,F,Medan,Home,608000,1,Transfer,2024-05-08 01:34:05,3,5,608000
U03664,33,M,Denpasar,Home,142000,1,E-Wallet,2024-04-25 06:49:17,3,4,142000
U03201,32,F,Semarang,Electronics,1116000,1,E-Wallet,2024-01-19 00:01:41,7,4,1116000
U00880,41,M,Denpasar,Electronics,924000,1,Transfer,2024-05-21 02:50:22,8,3,924000
U05089,31,M,Denpasar,Home,243000,2,Transfer,2024-04-29 22:21:19,5,3,486000
U00001,34,M,Bandung,Health,426000,3,PayLater,2024-02-16 04:28:14,1,5,1278000
U00167,37,M,Denpasar,Automotive,568000,1,E-Wallet,2024-04-18 21:46:07,5,5,568000
U02064,29,F,Semarang,Food,31000,1,COD,2024-01-27 00:04:41,1,5,31000
U02705,32,F,Jakarta,Home,247000,2,E-Wallet,2024-02-28 23:07:30,2,4,494000
U00112,30,F,Jakarta,Home,288000,1,E-Wallet,2024-06-20 04:10:11,3,4,288000
U03440,33,M,Palembang,Sports,562000,1,COD,2024-06-17 19:21:30,6,4,562000
U01126,20,M,Semarang,Sports,123000,1,Transfer,2024-03-27 07:08:41,4,3,123000
U02642,28,M,Jakarta,Books,107000,1,Transfer,2024-06-15 04:24:07,4,4,107000
U01430,28,F,Surabaya,Electronics,2329000,1,Transfer,2024-04-19 12:49:55,3,5,2329000
U02044,31,M,Bandung,Health,41000,5,PayLater,2024-05-17 09:27:03,3,4,205000
U04603,45,F,Bandung,Electronics,642000,1,Credit Card,2024-05-06 00:45:08,1,4,642000
U01635,27,F,Surabaya,Food,48000,6,PayLater,2024-01-07 10:46:36,5,4,288000
U00671,41,M,Makassar,Automotive,1734000,1,PayLater,2024-04-27 13:18:07,12,3,1734000
U03112,27,M,Surabaya,Home,970000,1,Credit Card,2024-06-15 16:47:42,1,4,970000
U01691,35,F,Yogyakarta,Electronics,1131000,1,E-Wallet,2024-02-24 07:28:52,4,4,1131000
U03958,28,M,Yogyakarta,Fashion,568000,2,Transfer,2024-02-03 02:38:21,3,5,1136000
U00965,29,M,Medan,Home,334000,1,Transfer,2024-01-21 22:08:15,4,3,334000
U00281,31,M,Jakarta,Electronics,1376000,1,E-Wallet,2024-05-17 12:25:35,3,4,1376000
U04447,22,F,Jakarta,Food,53000,1,COD,2024-04-10 12:16:30,2,4,53000
U01967,28,M,Jakarta,Fashion,381000,1,PayLater,2024-05-29 15:42:34,4,4,381000
U02809,38,F,Balikpapan,Toys,123000,1,COD,2024-04-22 22:11:33,4,4,123000
U05644,42,M,Surabaya,Electronics,1310000,1,Credit Card,2024-04-12 19:05:14,9,3,1310000
U05403,35,F,Makassar,Sports,161000,1,Credit Card,2024-01-25 19:09:19,2,5,161000
U01965,35,M,Denpasar,Food,63000,3,COD,2024-06-05 11:51:07,4,4,189000
U04824,30,M,Makassar,Beauty,243000,3,E-Wallet,2024-01-27 18:39:27,3,4,729000
U03391,17,M,Semarang,Fashion,425000,2,Transfer,2024-05-27 00:01:39,2,4,850000
U00823,51,M,Balikpapan,Beauty,48000,1,Credit Card,2024-05-23 03:23:05,3,4,48000
U01438,44,M,Yogyakarta,Sports,296000,2,Transfer,2024-04-09 02:30:54,5,4,592000
U02062,29,F,Jakarta,Electronics,4141000,1,PayLater,2024-04-11 11:37:11,2,5,4141000
U05176,46,M,Makassar,Toys,223000,2,Transfer,2024-01-30 07:04:24,8,4,446000
U03866,23,M,Surabaya,Automotive,647000,1,Transfer,2024-02-29 07:41:52,4,4,647000
U04295,41,F,Palembang,Electronics,1744000,1,E-Wallet,2024-02-14 21:30:48,6,3,1744000
U05980,34,M,Palembang,Beauty,184000,3,Credit Card,2024-06-17 00:37:53,4,5,552000
U04774,30,F,Jakarta,Beauty,154000,1,Transfer,2024-02-19 21:51:08,1,5,154000
U04037,35,M,Balikpapan,Electronics,1157000,2,Credit Card,2024-03-19 01:28:17,7,4,2314000
U01465,25,M,Yogyakarta,Food,92000,2,E-Wallet,2024-03-04 08:41:20,2,4,184000
U00078,27,F,Jakarta,Health,60000,3,COD,2024-04-20 05:00:55,2,4,180000
U02160,35,F,Yogyakarta,Home,1055000,1,Transfer,2024-02-08 18:51:58,3,4,1055000
U04631,17,M,Jakarta,Health,75000,3,COD,2024-03-17 14:29:01,1,5,225000
U05495,34,M,Yogyakarta,Sports,568000,1,E-Wallet,2024-06-10 09:54:03,1,5,568000
U03188,38,M,Jakarta,Electronics,1543000,1,PayLater,2024-04-13 13:48:02,3,3,1543000
U01166,52,M,Medan,Electronics,1240000,1,PayLater,2024-02-05 14:17:19,5,4,1240000
U05317,17,M,Bandung,Sports,1001000,3,Transfer,2024-02-05 11:52:25,10,3,3003000
U00790,17,M,Jakarta,Home,703000,2,E-Wallet,2024-05-30 21:37:18,2,5,1406000
U01564,38,F,Jakarta,Electronics,1662000,3,Transfer,2024-04-28 01:11:52,3,4,4986000
U01323,29,M,Jakarta,Beauty,429000,4,Credit Card,2024-05-02 19:20:58,5,4,1716000
U05196,26,M,Surabaya,Toys,376000,2,Credit Card,2024-03-31 12:40:49,1,4,752000
U01503,23,F,Makassar,Books,56000,2,PayLater,2024-06-17 04:15:00,6,4,112000
U01492,53,M,Jakarta,Fashion,43000,1,PayLater,2024-05-06 15:12:44,1,5,43000
U01660,40,M,Yogyakarta,Fashion,228000,1,Credit Card,2024-04-08 14:07:58,3,5,228000
U05997,40,M,Balikpapan,Health,372000,2,Credit Card,2024-05-18 18:30:03,1,4,744000
U01316,18,F,Medan,Automotive,969000,1,E-Wallet,2024-03-08 14:13:10,3,4,969000
U03063,29,F,Yogyakarta,Fashion,638000,2,Transfer,2024-04-15 22:46:17,3,4,1276000
U00125,35,M,Balikpapan,Toys,124000,2,E-Wallet,2024-03-18 15:43:34,7,3,248000
U03063,29,F,Yogyakarta,Fashion,195000,2,Transfer,2024-02-18 10:26:11,5,5,390000
U00519,31,M,Semarang,Fashion,198000,1,COD,2024-02-22 01:35:37,3,4,198000
U02071,39,M,Palembang,Fashion,251000,1,Transfer,2024-02-12 09:14:57,3,5,251000
U04258,43,M,Jakarta,Electronics,2963000,3,Transfer,2024-05-25 07:12:53,2,4,8889000
U02677,33,M,Jakarta,Toys,594000,4,E-Wallet,2024-06-16 08:43:33,4,4,2376000
U02554,34,F,Yogyakarta,Home,1519000,1,E-Wallet,2024-04-24 01:03:56,10,3,1519000
U04978,31,M,Jakarta,Fashion,681000,2,Transfer,2024-06-13 10:04:31,2,5,1362000
U03936,33,M,Balikpapan,Toys,303000,1,E-Wallet,2024-02-20 23:12:08,6,4,303000
U01045,28,M,Surabaya,Toys,149000,1,E-Wallet,2024-01-17 06:37:16,5,4,149000
U01788,23,M,Surabaya,Electronics,2028000,1,COD,2024-05-06 01:04:29,5,4,2028000
U05958,35,M,Palembang,Beauty,200000,4,Transfer,2024-02-26 17:52:04,4,3,800000
U03536,44,F,Yogyakarta,Sports,425000,1,PayLater,2024-02-20 03:51:43,3,4,425000
U04579,25,F,Jakarta,Sports,204000,1,E-Wallet,2024-06-15 15:34:48,2,4,204000
U05622,17,M,Makassar,Sports,280000,1,PayLater,2024-06-18 00:50:38,4,3,280000
U01967,28,M,Jakarta,Fashion,389000,2,Credit Card,2024-03-14 15:06:01,1,4,778000
U02357,27,M,Semarang,Fashion,178000,3,Credit Card,2024-05-14 07:16:42,8,3,534000
U04970,43,F,Surabaya,Toys,192000,2,PayLater,2024-01-02 11:40:10,1,4,384000
U05673,24,F,Surabaya,Automotive,598000,2,Credit Card,2024-06-30 19:13:41,7,4,1196000
U02251,29,M,Jakarta,Fashion,113000,1,E-Wallet,2024-05-03 23:56:13,1,5,113000
U03488,36,M,Palembang,Electronics,1536000,2,PayLater,2024-05-11 00:09:11,5,4,3072000
U00142,42,F,Jakarta,Toys,137000,2,PayLater,2024-02-03 04:25:48,5,5,274000
U05976,24,F,Medan,Food,30000,5,Transfer,2024-05-20 06:28:47,3,4,150000
U01004,24,F,Denpasar,Fashion,101000,1,E-Wallet,2024-03-05 12:27:08,3,5,101000
U02155,19,F,Medan,Food,46000,3,COD,2024-01-20 01:04:40,2,3,138000
U02015,37,M,Makassar,Food,77000,1,Transfer,2024-05-01 09:22:39,5,4,77000
U04625,33,M,Makassar,Food,109000,2,E-Wallet,2024-05-11 06:49:46,6,4,218000
U03609,18,M,Jakarta,Home,157000,2,PayLater,2024-04-19 19:15:51,3,5,314000
U00969,30,F,Balikpapan,Electronics,5332000,1,E-Wallet,2024-03-29 14:16:11,4,4,5332000
U03926,27,M,Palembang,Health,173000,4,E-Wallet,2024-06-04 00:18:36,3,4,692000
U03959,40,M,Semarang,Health,64000,1,Credit Card,2024-04-02 17:49:21,4,4,64000
U05869,24,M,Jakarta,Health,106000,4,E-Wallet,2024-02-10 18:54:11,2,3,424000
U02736,25,F,Makassar,Automotive,169000,1,Transfer,2024-05-24 12:17:18,8,4,169000
U00805,26,M,Yogyakarta,Sports,124000,1,E-Wallet,2024-01-19 09:22:30,4,4,124000
U01335,31,F,Jakarta,Fashion,707000,1,COD,2024-03-30 14:33:05,3,4,707000
U03985,32,M,Bandung,Electronics,1061000,2,E-Wallet,2024-03-20 10:21:15,3,3,2122000
U00668,44,F,Jakarta,Electronics,2522000,1,PayLater,2024-04-25 13:31:39,6,4,2522000
U00385,23,M,Jakarta,Fashion,196000,3,COD,2024-06-26 10:20:38,1,5,588000
U03125,29,F,Bandung,Home,423000,3,E-Wallet,2024-01-25 20:21:09,2,5,1269000
U01609,33,F,Denpasar,Health,182000,1,COD,2024-04-17 21:26:50,3,4,182000
U03255,33,M,Bandung,Food,11000,6,E-Wallet,2024-02-08 01:32:29,1,5,66000
U03441,31,M,Medan,Home,1052000,3,Transfer,2024-06-29 19:45:25,3,4,3156000
U02749,33,F,Jakarta,Sports,361000,1,E-Wallet,2024-06-26 22:07:03,3,4,361000
U00013,32,F,Medan,Fashion,149000,1,Transfer,2024-05-15 08:04:44,5,3,149000
U03008,17,M,Bandung,Health,196000,2,COD,2024-01-27 19:41:44,1,4,392000
U02208,33,F,Semarang,Home,252000,1,Credit Card,2024-05-11 14:49:54,6,4,252000
U05404,31,F,Semarang,Fashion,245000,1,Transfer,2024-02-23 00:53:03,1,4,245000
U04168,28,M,Semarang,Health,125000,4,PayLater,2024-06-25 13:28:32,4,5,500000
U02146,43,F,Surabaya,Beauty,208000,3,Transfer,2024-05-17 06:57:06,1,5,624000
U01866,17,M,Jakarta,Home,360000,1,PayLater,2024-04-20 01:10:16,1,4,360000
U00101,17,F,Balikpapan,Beauty,61000,1,Transfer,2024-01-06 21:54:33,1,5,61000
U04080,27,F,Denpasar,Books,128000,1,Credit Card,2024-05-10 22:24:49,8,4,128000
U04377,17,M,Makassar,Electronics,1433000,3,E-Wallet,2024-04-05 15:42:17,5,4,4299000
U04979,34,M,Semarang,Automotive,176000,1,Credit Card,2024-01-11 10:31:15,7,5,176000
U01313,43,F,Makassar,Health,162000,5,E-Wallet,2024-01-04 08:42:02,7,3,810000
U02797,35,F,Denpasar,Home,287000,1,E-Wallet,2024-03-24 17:38:26,10,4,287000
U04705,35,M,Surabaya,Sports,493000,2,E-Wallet,2024-04-21 22:54:59,6,4,986000
U00450,20,M,Denpasar,Toys,104000,3,Transfer,2024-06-25 13:12:25,4,4,312000
U03440,33,M,Palembang,Food,21000,2,Credit Card,2024-01-04 15:55:23,5,4,42000
U03502,24,F,Denpasar,Health,323000,4,COD,2024-01-03 12:18:34,1,5,1292000
U03168,31,M,Surabaya,Sports,698000,3,Transfer,2024-06-10 04:10:12,4,4,2094000
U05381,25,M,Surabaya,Food,49000,1,COD,2024-04-12 14:10:21,6,4,49000
U05632,38,F,Palembang,Sports,526000,1,E-Wallet,2024-05-20 07:15:19,1,5,526000
U00121,37,F,Jakarta,Home,737000,3,E-Wallet,2024-06-01 18:33:36,6,4,2211000
U03438,19,F,Yogyakarta,Electronics,1719000,2,E-Wallet,2024-02-01 15:59:03,3,5,3438000
U03857,17,F,Surabaya,Toys,81000,2,E-Wallet,2024-05-02 22:06:29,4,4,162000
U01076,26,F,Jakarta,Home,515000,1,COD,2024-04-26 19:19:56,2,4,515000
U04414,17,F,Bandung,Toys,382000,1,Transfer,2024-04-12 12:26:09,1,5,382000
U02723,20,F,Jakarta,Electronics,2623000,1,Credit Card,2024-04-03 10:07:02,5,4,2623000
U00702,39,M,Bandung,Home,436000,1,COD,2024-06-23 02:26:12,1,5,436000
U03349,36,M,Jakarta,Books,148000,4,Transfer,2024-02-09 02:13:39,1,4,592000
U03669,29,M,Medan,Health,120000,4,Transfer,2024-06-12 22:12:37,2,4,480000
U03266,47,M,Denpasar,Automotive,1313000,1,Transfer,2024-05-21 19:26:59,7,3,1313000
U05113,30,F,Palembang,Automotive,1623000,1,Credit Card,2024-03-27 15:16:16,5,3,1623000
U00021,43,F,Palembang,Fashion,85000,1,Transfer,2024-04-05 14:01:03,5,4,85000
U02447,33,F,Denpasar,Toys,414000,2,Transfer,2024-01-05 22:42:49,6,4,828000
U05835,32,F,Jakarta,Fashion,1015000,2,Credit Card,2024-03-10 19:05:12,3,4,2030000
U02250,38,F,Surabaya,Fashion,306000,1,PayLater,2024-05-11 20:52:38,3,4,306000
U02514,28,M,Semarang,Electronics,3448000,2,COD,2024-05-18 18:46:22,1,5,6896000
U03223,42,M,Yogyakarta,Toys,120000,1,Transfer,2024-05-18 17:00:01,1,5,120000
U04992,36,F,Bandung,Electronics,1217000,1,Credit Card,2024-06-12 17:59:19,3,5,1217000
U01183,38,F,Surabaya,Electronics,1495000,1,Transfer,2024-01-18 19:12:05,4,4,1495000
U02358,31,F,Surabaya,Fashion,160000,4,Transfer,2024-04-24 09:56:10,1,4,640000
U02552,17,F,Jakarta,Home,167000,1,COD,2024-05-24 14:12:13,5,4,167000
U02074,32,M,Jakarta,Automotive,560000,1,COD,2024-02-29 13:40:30,1,4,560000
U00066,42,F,Bandung,Food,89000,4,E-Wallet,2024-06-24 23:27:59,1,4,356000
U04359,35,F,Denpasar,Home,168000,1,E-Wallet,2024-01-15 20:09:28,3,5,168000
U00472,17,M,Medan,Fashion,240000,1,Credit Card,2024-04-05 21:41:31,4,5,240000
U02215,26,F,Makassar,Fashion,235000,2,COD,2024-03-22 10:24:28,2,5,470000
U03226,21,M,Denpasar,Electronics,1402000,1,Credit Card,2024-05-10 00:26:21,8,4,1402000
U00343,32,F,Balikpapan,Food,70000,2,E-Wallet,2024-03-23 23:00:39,5,4,140000
U00718,31,F,Palembang,Beauty,167000,1,Credit Card,2024-03-22 17:49:00,3,5,167000
U02461,31,M,Jakarta,Fashion,163000,1,Transfer,2024-03-12 10:12:54,2,5,163000
U03737,26,M,Surabaya,Toys,398000,2,E-Wallet,2024-03-23 03:17:49,2,4,796000
U03256,31,M,Surabaya,Health,209000,2,PayLater,2024-03-13 19:49:28,2,4,418000
U05791,17,M,Surabaya,Electronics,5210000,1,Transfer,2024-06-07 09:29:37,7,4,5210000
U03266,47,M,Denpasar,Electronics,1653000,1,PayLater,2024-03-08 19:45:13,11,4,1653000
U05335,23,M,Surabaya,Books,79000,1,Transfer,2024-01-02 14:40:54,5,4,79000
U04090,27,F,Makassar,Fashion,183000,1,Credit Card,2024-03-30 06:48:45,7,3,183000
U02531,34,F,Palembang,Food,114000,1,COD,2024-02-20 14:03:50,9,3,114000
U03633,28,M,Jakarta,Food,45000,1,E-Wallet,2024-03-11 10:02:30,2,5,45000
U01056,24,M,Medan,Automotive,594000,1,PayLater,2024-02-06 15:11:19,2,5,594000
U00015,17,M,Denpasar,Beauty,499000,4,Transfer,2024-04-24 20:40:37,4,4,1996000
U03390,31,F,Semarang,Electronics,675000,3,E-Wallet,2024-01-27 09:23:02,7,3,2025000
U05966,31,F,Surabaya,Electronics,2223000,2,Credit Card,2024-02-28 06:02:47,5,4,4446000
U03315,27,M,Makassar,Fashion,203000,1,E-Wallet,2024-06-02 19:15:52,4,5,203000
U00017,21,M,Surabaya,Fashion,177000,1,PayLater,2024-04-18 00:29:12,1,4,177000
U02582,34,M,Yogyakarta,Home,214000,1,COD,2024-05-23 00:56:17,4,5,214000
U01780,24,M,Bandung,Toys,119000,1,E-Wallet,2024-01-04 20:59:48,2,4,119000
U01950,30,M,Palembang,Fashion,159000,2,PayLater,2024-05-03 04:18:07,6,4,318000
U00081,28,M,Bandung,Food,70000,6,E-Wallet,2024-03-04 20:10:00,1,5,420000
U03080,28,M,Yogyakarta,Fashion,385000,3,Transfer,2024-02-03 02:18:24,4,4,1155000
U01019,27,M,Bandung,Electronics,498000,1,E-Wallet,2024-02-19 09:08:19,1,4,498000
U00780,36,M,Yogyakarta,Health,60000,2,E-Wallet,2024-04-02 12:23:30,3,4,120000
U01825,32,F,Yogyakarta,Electronics,2541000,1,Transfer,2024-02-21 00:57:42,4,4,2541000
U03865,27,F,Surabaya,Fashion,330000,1,E-Wallet,2024-03-08 07:36:10,3,5,330000
U02470,28,M,Jakarta,Electronics,621000,1,E-Wallet,2024-01-08 17:57:41,4,5,621000
U02514,28,M,Semarang,Home,771000,1,Transfer,2024-05-05 09:24:39,3,4,771000
U02131,34,M,Bandung,Health,140000,3,Credit Card,2024-02-23 13:38:01,1,4,420000
U00325,21,F,Jakarta,Electronics,2921000,2,E-Wallet,2024-05-05 18:34:57,3,4,5842000
U03491,27,F,Bandung,Food,27000,3,Transfer,2024-05-18 00:29:46,2,5,81000
U05147,29,F,Makassar,Electronics,654000,1,Transfer,2024-05-26 04:20:32,4,5,654000
U00677,20,F,Surabaya,Books,80000,1,E-Wallet,2024-03-22 06:45:27,1,5,80000
U02012,23,M,Surabaya,Beauty,105000,1,Transfer,2024-05-07 11:44:56,1,5,105000
U04889,32,F,Balikpapan,Sports,309000,1,Transfer,2024-06-19 22:55:10,6,4,309000
U03617,21,M,Balikpapan,Food,38000,2,E-Wallet,2024-04-20 10:08:31,3,5,76000
U03134,43,F,Palembang,Automotive,2068000,1,Transfer,2024-06-27 11:02:01,4,4,2068000
U02705,32,F,Jakarta,Food,15000,3,E-Wallet,2024-05-20 08:47:37,1,4,45000
